,baseSymbol,baseLastPrice,symbolType,strikePrice,expirationDate,daysToExpiration,bidPrice,midpoint,askPrice,lastPrice,volume,openInterest,volumeOpenInterestRatio,volatility,tradeTime,exportedAt,minPrice,maxPrice,finalPrice,firstPrice
91,VIPS,23.59,Call,25.0,2020-08-21,16,0.9,0.95,1.0,0.95,3710,641,5.79,76.47,2020-08-05 14:35:00,2020-08-05 21:25:16,17.90999984741211,24.459999084472656,18.049999237060547,23.889999389648438
92,DOYU,15.55,Call,20.0,2020-08-21,16,0.4,0.43,0.45,0.42,1168,207,5.64,125.79,2020-08-05 14:24:00,2020-08-05 21:25:16,13.805000305175781,16.209999084472656,14.640000343322754,15.920000076293945
93,DOYU,15.55,Call,20.0,2020-08-21,16,0.4,0.43,0.45,0.42,1168,207,5.64,125.79,2020-08-05 14:24:00,2020-08-05 21:25:16,13.805000305175781,16.209999084472656,14.640000343322754,15.920000076293945
94,VRRM,10.99,Put,10.0,2020-08-21,16,0.3,0.35,0.4,0.35,866,155,5.59,85.08,2020-08-05 14:21:00,2020-08-05 21:25:16,10.449999809265137,11.949999809265137,10.5600004196167,11.140000343322754
95,VRRM,10.99,Put,10.0,2020-08-21,16,0.3,0.35,0.4,0.35,866,155,5.59,85.08,2020-08-05 14:21:00,2020-08-05 21:25:16,10.449999809265137,11.949999809265137,10.5600004196167,11.140000343322754
96,ALRM,62.06,Call,70.0,2020-08-21,16,0.85,1.0,1.15,1.0,658,118,5.58,66.94,2020-08-05 14:55:00,2020-08-05 21:25:16,56.15999984741211,64.0,58.77000045776367,60.189998626708984
97,ALRM,62.06,Call,70.0,2020-08-21,16,0.85,1.0,1.15,1.0,658,118,5.58,66.94,2020-08-05 14:55:00,2020-08-05 21:25:16,56.15999984741211,64.0,58.77000045776367,60.189998626708984
98,DIS,128.28,Call,120.0,2020-08-28,23,8.95,9.05,9.15,9.0,2881,520,5.54,27.97,2020-08-05 14:48:00,2020-08-05 21:25:16,125.61000061035156,136.8000030517578,135.5399932861328,130.82000732421875
99,DIS,128.28,Call,135.0,2020-08-28,23,1.14,1.18,1.22,1.18,868,188,4.62,27.38,2020-08-05 14:49:00,2020-08-05 21:25:16,125.61000061035156,136.8000030517578,135.5399932861328,130.82000732421875
100,DIS,128.28,Put,120.0,2020-08-28,23,0.95,0.99,1.03,0.98,537,166,3.23,30.04,2020-08-05 14:37:00,2020-08-05 21:25:16,125.61000061035156,136.8000030517578,135.5399932861328,130.82000732421875
101,DIS,128.28,Call,130.0,2020-08-28,23,2.56,2.65,2.74,2.7,1376,563,2.44,27.32,2020-08-05 14:36:00,2020-08-05 21:25:16,125.61000061035156,136.8000030517578,135.5399932861328,130.82000732421875
102,DIS,127.76,Call,140.0,2020-08-28,23,0.49,0.52,0.55,0.51,683,345,1.98,29.12,2020-08-05 14:50:00,2020-08-05 21:25:16,125.61000061035156,136.8000030517578,135.5399932861328,130.82000732421875
103,DIS,128.28,Call,120.0,2020-08-28,23,8.95,9.05,9.15,9.0,2881,520,5.54,27.97,2020-08-05 14:48:00,2020-08-05 21:25:16,125.61000061035156,136.8000030517578,135.5399932861328,130.82000732421875
104,DIS,128.28,Call,135.0,2020-08-28,23,1.14,1.18,1.22,1.18,868,188,4.62,27.38,2020-08-05 14:49:00,2020-08-05 21:25:16,125.61000061035156,136.8000030517578,135.5399932861328,130.82000732421875
105,DIS,128.28,Put,120.0,2020-08-28,23,0.95,0.99,1.03,0.98,537,166,3.23,30.04,2020-08-05 14:37:00,2020-08-05 21:25:16,125.61000061035156,136.8000030517578,135.5399932861328,130.82000732421875
106,DIS,128.28,Call,130.0,2020-08-28,23,2.56,2.65,2.74,2.7,1376,563,2.44,27.32,2020-08-05 14:36:00,2020-08-05 21:25:16,125.61000061035156,136.8000030517578,135.5399932861328,130.82000732421875
107,DIS,127.76,Call,140.0,2020-08-28,23,0.49,0.52,0.55,0.51,683,345,1.98,29.12,2020-08-05 14:50:00,2020-08-05 21:25:16,125.61000061035156,136.8000030517578,135.5399932861328,130.82000732421875
108,ZAGG,3.85,Call,4.0,2020-08-21,16,0.2,0.25,0.3,0.2,2093,389,5.38,81.72,2020-08-05 14:48:00,2020-08-05 21:25:16,3.200000047683716,4.130000114440918,3.440000057220459,3.240000009536743
109,ZAGG,3.85,Call,5.0,2020-08-21,16,0.1,0.13,0.15,0.12,721,256,2.82,135.57,2020-08-05 14:48:00,2020-08-05 21:25:16,3.200000047683716,4.130000114440918,3.440000057220459,3.240000009536743
110,ZAGG,3.85,Call,4.0,2020-08-21,16,0.2,0.25,0.3,0.2,2093,389,5.38,81.72,2020-08-05 14:48:00,2020-08-05 21:25:16,3.200000047683716,4.130000114440918,3.440000057220459,3.240000009536743
111,ZAGG,3.85,Call,5.0,2020-08-21,16,0.1,0.13,0.15,0.12,721,256,2.82,135.57,2020-08-05 14:48:00,2020-08-05 21:25:16,3.200000047683716,4.130000114440918,3.440000057220459,3.240000009536743
112,CRON,6.89,Put,6.5,2020-08-21,16,0.32,0.33,0.34,0.32,2168,406,5.34,88.13,2020-08-05 14:44:00,2020-08-05 21:25:16,5.260000228881836,6.659999847412109,5.309999942779541,5.869999885559082
113,CRON,6.89,Put,6.5,2020-08-21,16,0.32,0.33,0.34,0.32,2168,406,5.34,88.13,2020-08-05 14:44:00,2020-08-05 21:25:16,5.260000228881836,6.659999847412109,5.309999942779541,5.869999885559082
114,BMY,59.76,Call,59.0,2020-08-21,16,2.59,2.62,2.65,2.6,3167,603,5.25,44.14,2020-08-05 14:34:00,2020-08-05 21:25:16,60.41999816894531,64.2699966430664,62.189998626708984,61.33000183105469
115,BMY,59.76,Call,58.0,2020-08-21,16,3.25,3.3,3.35,3.15,2134,525,4.06,42.35,2020-08-05 13:19:00,2020-08-05 21:25:16,60.41999816894531,64.2699966430664,62.189998626708984,61.33000183105469
116,BMY,59.76,Call,59.0,2020-08-21,16,2.59,2.62,2.65,2.6,3167,603,5.25,44.14,2020-08-05 14:34:00,2020-08-05 21:25:16,60.41999816894531,64.2699966430664,62.189998626708984,61.33000183105469
117,BMY,59.76,Call,58.0,2020-08-21,16,3.25,3.3,3.35,3.15,2134,525,4.06,42.35,2020-08-05 13:19:00,2020-08-05 21:25:16,60.41999816894531,64.2699966430664,62.189998626708984,61.33000183105469
118,TDOC,208.0,Call,215.0,2020-08-21,16,9.8,10.1,10.4,10.1,515,101,5.1,75.43,2020-08-05 14:40:00,2020-08-05 21:25:16,181.7519989013672,233.8300018310547,223.41000366210938,212.5
119,TDOC,206.55,Put,180.0,2020-08-21,16,2.85,3.03,3.2,3.0,629,365,1.72,74.43,2020-08-05 14:54:00,2020-08-05 21:25:16,181.7519989013672,233.8300018310547,223.41000366210938,212.5
